id	N	mean	sd	se	sentence	task	reference
AC-OC-02-R0032	12	4.166666667	1.585922922	0.457816513	Nessuno studente sospetta che qualcuno abbia già finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0033	15	5.933333333	0.798808637	0.206251503	Quale candidato Giulio ha scritto che lei aveva detto che Carla avrebbe dovuto menzionare questo candidato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0034	14	3.785714286	1.672334684	0.446950245	Uno studente ha finito nessun esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0035	14	3.714285714	1.772810521	0.473803541	Nessuno studente sostiene di avere mai finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0036	14	4.428571429	1.283881478	0.343131758	Ho sentito con chi è che Maria ti ha detto dove Carlo parlerà.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0037	14	2.714285714	1.683794772	0.450013082	Ci mostrarono l'anziano signore che Maria voleva registrare e Marco visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0038	15	4	1.362770288	0.351865775	Ho sentito chi è che Maria ha saputo quando il ministro incontrerà .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0039	15	3.066666667	1.387014608	0.358125632	Ho sentito che Maria ha saputo perché il ministro darà il premio ai dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0040	15	2.6	1.594633859	0.411732692	Maria ti ha detto che Carlo farà un sopralluogo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0041	15	2.533333333	1.187233679	0.306542418	Carlo conosceva bene la persona con cui Sara voleva sempre fare qualcosa.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0042	14	4.785714286	1.42389344	0.380551529	Questo candidato, Giulio ha scritto che lei aveva detto che Carla avrebbe dovuto menzionare .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0043	12	2.75	1.764549904	0.509381681	Ho sentito che Maria ha saputo dove il ministro incontrerà i dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0044	15	3.133333333	1.060098827	0.27371634	Ci dissero chi l'infermiera aveva registrato e il dottore visitato l'anziano signore .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0045	15	3	1.069044968	0.276026224	Uno studente pensa che Francesco abbia mai finito questo esercizio in tempo utile .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0046	12	3.333333333	1.370688834	0.395683784	Ci dissero chi Maria voleva chiamare e Marco medicarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0047	15	3.333333333	1.632993162	0.421637021	Nessuno sostiene di avere mai finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0048	14	3.642857143	1.86494557	0.498427669	Carlo conosceva bene la ragazza con cui Sara voleva sempre passare il tempo .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0049	14	5.071428571	1.328057327	0.354938251	il giornalista ha scritto che Susanna aveva detto che lo studente avrebbe dovuto considerare questo problema.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0050	12	4.916666667	1.443375673	0.416666667	Questo, lui ha affermato che il professore aveva detto che lo studente avrebbe dovuto considerare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0051	11	3.636363636	1.689540013	0.509415481	Ho sentito quale provvedimento Maria ha saputo quando Carlo prenderà.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0052	14	3.642857143	1.823232246	0.487279314	Ci dissero quale paziente l'infermiera aveva chiamato e Marco medicato .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0053	13	4.076923077	1.497861724	0.415432096	Ci dissero chi l'infermiera aveva registrato un uomo e il dottore visitato l'anziano signore.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0054	12	6.083333333	0.900336637	0.2599048	Quale problema il giornalista ha suggerito che Susanna aveva pensato che Carla avrebbe dovuto menzionare questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0055	15	3.533333333	1.684664726	0.434978562	Ci dissero che l'infermiera voleva chiamare e il dottore visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0056	15	2	1.133893419	0.292770022	Maria ha saputo dove Carlo darà il premio ai dottori .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0057	15	3.266666667	1.162919151	0.300264434	Ci mostrarono il paziente che l'infermiera voleva chiamarlo e Marco medicarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0058	15	4.2	1.424279266	0.367747325	Questo problema, lui ha scritto che lei aveva detto che costui avrebbe dovuto descriverlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0059	13	4	1.471960144	0.40824829	Chi è che il professore ha pensato che Carla avrebbe dovuto menzionarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0060	15	3.4	1.45405836	0.375436254	Questo, lui ha pensato che Carla avrebbe dovuto menzionare questo candidato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0061	14	2.285714286	1.589802669	0.424892636	lo studente dovrebbe considerare .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0062	12	3.666666667	1.723280874	0.497468338	Ci dissero quale paziente Maria aveva registrato un uomo e il dottore visitato l'anziano signore.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0063	12	2.583333333	1.311372171	0.378560538	Carlo conosceva bene il compagno di classe che Anna voleva sempre vedere.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0064	14	3.5	1.019049331	0.27235239	quale paziente dici che l'infermiera voglia chiamare e il dottore medicarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0065	12	2.666666667	1.435481125	0.414387707	Ci mostrarono l'anziano signore che Maria voleva registrarlo e Marco visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0066	15	3.4	1.549193338	0.4	Chi è che Maria ha saputo quando Carlo incontrerà?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0067	14	4.642857143	1.277445941	0.341411789	quale paziente pensi che Maria abbia chiamato un uomo e Marco visitato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0068	13	6.153846154	0.688737232	0.191021339	Quale candidato il giornalista ha affermato che Susanna aveva pensato che lo studente avrebbe dovuto considerarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0069	13	3.692307692	1.315587029	0.364878192	Che cos'è che lo studente dovrebbe considerare questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0070	13	3.615384615	1.445594545	0.400935789	A chi è che Maria ha saputo che Carlo darà il premio?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0071	12	2.083333333	0.900336637	0.2599048	Sapevo che l'infermiera voleva registrare e Marco visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0072	14	2.714285714	1.204387583	0.321886121	Nessuno sostiene di avere già finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0073	12	3.416666667	1.505042031	0.434468211	Ci dissero chi l'infermiera voleva registrarlo e Marco medicarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0074	15	5.8	1.082325539	0.279455252	Chi è che lui ha suggerito che lei aveva pensato che lo studente avrebbe dovuto descrivere questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0075	13	2.384615385	1.502135232	0.416617354	Maria ha saputo che Carlo darà il premio ai dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0076	13	2.615384615	1.556623565	0.431729698	Questo, lo studente dovrebbe considerare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0077	12	3.166666667	1.267304465	0.365839287	quale paziente pensi che Maria voglia chiamare e Marco medicare?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0078	13	2.769230769	1.690850188	0.468957466	Conoscevo il paziente che l'infermiera voleva chiamare e il dottore medicare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0079	14	3.285714286	1.437335753	0.384144138	Quale candidato Carla dovrebbe considerare questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0080	13	3.461538462	1.560736184	0.432870334	Questo, lui ha pensato che Carla avrebbe dovuto menzionare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0081	11	5.363636364	1.361816968	0.410603265	Questo candidato, Giulio ha scritto che lei aveva detto che Carla avrebbe dovuto menzionare questo problema.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0082	12	2.416666667	1.378954369	0.398069838	Uno studente ha già finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0083	15	3.133333333	0.743223353	0.191899445	Maria si aspetta che qualcuno possa aver mai finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0084	12	3.833333333	1.527525232	0.440958552	Nessuno sospetta che qualcuno abbia mai finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0085	15	3.133333333	1.552264091	0.400792865	Ci mostrarono il paziente che Maria aveva registrato e Marco testato un malato .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0086	12	2.583333333	1.378954369	0.398069838	Che cos'è che lo studente dovrebbe considerarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0087	15	3.4	1.183215957	0.305505046	Ci mostrarono il paziente che Maria voleva vederlo e il dottore visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0088	13	3.307692308	1.601281538	0.444115592	Chi pensi che Maria voglia chiamare e Marco visitarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0089	12	3.333333333	1.723280874	0.497468338	Nessuno sostiene di avere mai finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0090	15	4.8	1.424279266	0.367747325	quale paziente pensi che l'infermiera abbia registrato un uomo e il dottore visitato l'anziano signore?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0091	13	3.153846154	1.463224399	0.405825431	Sapevo che Maria voleva chiamare e il dottore medicare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0092	14	3.5	1.506396618	0.402601431	Questo candidato, lo studente dovrebbe descrivere questo candidato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0093	13	3.384615385	0.869718493	0.241216509	Ci dissero che l'infermiera voleva chiamare e il dottore visitarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0094	14	3.5	1.60527975	0.42902906	Uno studente sostiene di avere già finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0095	13	3.692307692	1.797434069	0.498518515	Ho sentito che Maria ha saputo che il ministro darà il premio ai dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0096	14	2.857142857	1.994497926	0.533051993	Maria ha saputo perché Carlo incontrerà i dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0097	12	3.333333333	1.370688834	0.395683784	Nessuno sostiene di avere finito nessun esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0098	15	2.733333333	1.486446706	0.383798889	Maria ha saputo dove il ministro prenderà questo provvedimento.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0099	15	2.866666667	1.35576371	0.350056685	Ci dissero quale paziente Maria aveva registrato e il dottore visitato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0100	15	3.533333333	1.807392228	0.466666667	Questo problema, Susanna ha pensato che Carla avrebbe dovuto menzionare questo problema.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0101	15	4.733333333	1.162919151	0.300264434	A chi è che Maria ha saputo perché Carlo darà il premio?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0102	15	4.2	1.567527626	0.404733893	Ho sentito con chi è che Maria ti ha detto quando Carlo parlerà.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0103	13	3.692307692	1.548365557	0.429439339	Ci mostrarono l'anziano signore che Maria voleva registrare e Marco visitarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0104	14	4.214285714	1.121713759	0.299790612	Uno studente pensa che Francesco abbia finito alcunchè in così poco tempo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0105	15	2.866666667	1.767430203	0.456348516	Ho sentito che Maria ti ha detto quando Carlo parlerà col diplomatico.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0106	15	2.733333333	1.279880947	0.330463839	Uno studente ha mai finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0107	12	4.333333333	1.775250729	0.512470743	Nessuno sospetta che qualcuno possa aver finito nessun esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0108	12	2.75	1.138180366	0.32856437	Conoscevo il paziente che l'infermiera aveva registrato e il dottore visitato un malato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0109	15	3.4	1.352246808	0.349148624	Cos'è che Maria ti ha detto perché Carlo farà?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0110	13	3.846153846	1.14354375	0.317161971	Carlo conosceva bene il compagno di classe con cui discutere divertiva sempre Sara.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0111	15	4.4	1.183215957	0.305505046	Chi pensi che Maria abbia chiamato un uomo e Marco visitato l'anziano signore?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0112	15	4.533333333	1.597617273	0.412503006	Che cos'è che Giulio ha scritto che lei aveva detto che lo studente avrebbe dovuto descrivere questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0113	14	3.428571429	1.603567451	0.428571429	Uno studente sostiene di avere finito alcunchè in così poco tempo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0114	15	2.733333333	1.533747356	0.396011865	Questo, lei dovrebbe descrivere.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0115	15	2.266666667	1.387014608	0.358125632	Cos'è che Maria ti ha detto che Carlo farà?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0116	14	4.357142857	1.33630621	0.357142857	Ci mostrarono l'anziano signore che Maria aveva registrato un paziente e Marco visitato .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0117	15	3.4	1.594633859	0.411732692	Uno studente pensa che Francesco abbia finito nessun esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0118	12	4.333333333	1.825741858	0.527046277	Questo problema, Susanna ha pensato che Carla avrebbe dovuto menzionare questo candidato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0119	13	3	1.779513042	0.493548117	Susanna ha detto che Carla avrebbe dovuto menzionare questo problema.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0120	15	3.666666667	1.588650221	0.410187723	Ci dissero che Maria aveva chiamato un uomo e il dottore visitato un malato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0121	15	2.866666667	0.915475416	0.236374736	Questo, il professore ha pensato che Carla avrebbe dovuto menzionare questo problema .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0122	14	3.071428571	1.439245834	0.384654629	Maria sostiene di avere finito nessun esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0123	15	2.933333333	1.387014608	0.358125632	Nessuno studente si aspetta che qualcuno abbia finito nessun esercizio in tempo utile .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0124	15	3.333333333	1.112697281	0.287297202	Sapevo Chi Maria aveva chiamato un uomo e il dottore medicato l'anziano signore .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0125	14	3.285714286	0.994490316	0.265788717	Ci dissero quale paziente Maria voleva chiamare e il dottore visitarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0126	14	4.142857143	1.350620533	0.360968521	Ci dissero chi Maria aveva chiamato e Marco visitato l'anziano signore.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0127	15	3.733333333	1.667618776	0.430577316	il giornalista ha scritto che Susanna aveva detto che lo studente avrebbe dovuto considerare questo candidato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0128	14	5.714285714	1.437335753	0.384144138	Chi è che lui ha suggerito che lei aveva pensato che lo studente avrebbe dovuto descriverlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0129	14	3.642857143	2.340517459	0.625529603	Carlo conosceva bene il compagno di classe con cui Sara sperava sempre di fare qualcosa .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0130	14	4.5	1.091928428	0.291830148	quale paziente dici che Maria abbia registrato un uomo e il dottore visitato l'anziano signore?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0131	14	3.428571429	1.910065875	0.510486578	Ho sentito che Maria ha saputo quando il ministro darà il premio ai dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0132	15	3.333333333	1.345185418	0.347325382	Ho sentito con chi è che Maria ti ha detto che Carlo parlerà .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0133	15	4	1.603567451	0.414039336	il giornalista ha scritto che Susanna aveva detto che lo studente avrebbe dovuto considerarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0134	15	4.8	1.146423008	0.296005148	Quale candidato lui ha detto che lei avrebbe dovuto descrivere questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0135	14	4.214285714	1.188313053	0.317590022	Sapevo quale paziente l'infermiera voleva chiamarlo e il dottore visitarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0136	15	3.333333333	1.632993162	0.421637021	Nessuno studente sostiene di avere mai finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0137	15	5.333333333	0.6172134	0.159363815	Che cos'è che il professore ha pensato che lo studente avrebbe dovuto considerare questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0138	13	4.230769231	1.48064435	0.410656856	Uno studente sostiene di avere mai finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0139	12	3.75	1.712255291	0.494285527	Questo, il professore ha pensato che Carla avrebbe dovuto menzionare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0140	15	3.333333333	1.2344268	0.318727629	Quale problema lui ha pensato che Carla avrebbe dovuto menzionarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0141	14	3.571428571	1.650840612	0.441205712	Ho sentito che Maria ti ha detto dove Carlo parlerà col diplomatico.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0142	15	2.666666667	1.2344268	0.318727629	Ci dissero che l'infermiera aveva chiamato e il dottore medicato un malato .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0143	13	2.846153846	1.724632997	0.478327131	Sapevo chi l'infermiera voleva registrare e Marco visitare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0144	15	2.8	1.082325539	0.279455252	quale paziente dici che l'infermiera voglia chiamare e il dottore medicare?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0145	13	2	1.779513042	0.493548117	lo studente dovrebbe considerare questo candidato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0146	13	2.076923077	1.441153384	0.399704033	Maria ti ha detto quando Carlo farà un sopralluogo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0147	13	3.769230769	1.091928428	0.302846457	Nessuno studente si aspetta che qualcuno abbia finito nessun esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0148	15	2.8	1.082325539	0.279455252	Ci dissero che Maria aveva chiamato un uomo e il dottore visitato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0149	15	1.666666667	0.723746864	0.186870637	Questo, lo studente dovrebbe considerarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0150	12	1.416666667	0.668557923	0.192996049	Carla dovrebbe menzionarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0151	14	3.785714286	1.42389344	0.380551529	Ci dissero che Maria aveva chiamato e il dottore visitato un malato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0152	14	4.071428571	1.685425567	0.45044893	Chi dici che l'infermiera abbia registrato e Marco visitato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0153	15	3.6	1.183215957	0.305505046	Chi è che Susanna ha detto che lo studente avrebbe dovuto descriverlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
